,Date,Region,Area,Cases,"Cases per 100,000"
212,2020-03-30,South LA,Los Angeles - Watts,2,4.55
213,2020-03-30,Central LA,Los Angeles - Wellington Square,0,0.0
214,2020-03-30,San Fernando Valley,Los Angeles - West Hills,7,17.89
215,2020-03-30,Westside,Los Angeles - West Los Angeles,19,50.68
216,2020-03-30,South LA,Los Angeles - West Vernon,9,16.57
217,2020-03-30,South Bay,Los Angeles - Westchester,17,33.47
218,2020-03-30,Central LA,Los Angeles - Westlake,7,11.93
219,2020-03-30,Westside,Los Angeles - Westwood,26,47.78
220,2020-03-30,Central LA,Los Angeles - Wholesale District,10,26.18
221,2020-03-30,Harbor,Los Angeles - Wilmington,10,17.46
222,2020-03-30,Central LA,Los Angeles - Wilshire Center,8,15.55
223,2020-03-30,San Fernando Valley,Los Angeles - Winnetka,9,17.63
224,2020-03-30,San Fernando Valley,Los Angeles - Woodland Hills,22,34.09
225,2020-03-30,Antelope Valley,Unincorporated - Acton,0,0.0
226,2020-03-30,Northwest County,Unincorporated - Agua Dulce,0,0.0
227,2020-03-30,Verdugos,Unincorporated - Altadena,10,23.55
228,2020-03-30,Antelope Valley,Unincorporated - Anaverde,0,0.0
229,2020-03-30,Angeles Forest,Unincorporated - Angeles National Forest,0,0.0
230,2020-03-30,San Gabriel Valley,Unincorporated - Arcadia,0,0.0
231,2020-03-30,South LA,Unincorporated - Athens-Westmont,7,16.81
232,2020-03-30,South LA,Unincorporated - Athens Village,0,0.0
233,2020-03-30,San Gabriel Valley,Unincorporated - Avocado Heights,0,0.0
234,2020-03-30,San Gabriel Valley,Unincorporated - Azusa,0,0.0
235,2020-03-30,Eastside,Unincorporated - Bandini Islands,0,0.0
236,2020-03-30,San Gabriel Valley,Unincorporated - Bassett,0,0.0
237,2020-03-30,Northwest County,Unincorporated - Bouquet Canyon,0,0.0
238,2020-03-30,San Gabriel Valley,Unincorporated - Bradbury,0,0.0
239,2020-03-30,Northwest County,Unincorporated - Canyon Country,,
240,2020-03-30,Northwest County,Unincorporated - Castaic,3,10.59
241,2020-03-30,Southeast,Unincorporated - Cerritos,0,0.0
242,2020-03-30,San Gabriel Valley,Unincorporated - Charter Oak,0,0.0
243,2020-03-30,Pomona Valley,Unincorporated - Claremont,0,0.0
244,2020-03-30,San Gabriel Valley,Unincorporated - Covina,,
245,2020-03-30,South Bay,Unincorporated - Del Aire,,
246,2020-03-30,Westside,Unincorporated - Del Rey,0,0.0
247,2020-03-30,Antelope Valley,Unincorporated - Del Sur,0,0.0
248,2020-03-30,Antelope Valley,Unincorporated - Desert View Highlands,0,0.0
249,2020-03-30,San Gabriel Valley,Unincorporated - Duarte,0,0.0
250,2020-03-30,San Gabriel Valley,Unincorporated - East Covina,0,0.0
251,2020-03-30,Southeast,Unincorporated - East La Mirada,0,0.0
252,2020-03-30,Antelope Valley,Unincorporated - East Lancaster,0,0.0
253,2020-03-30,Eastside,Unincorporated - East Los Angeles,11,8.66
254,2020-03-30,San Gabriel Valley,Unincorporated - East Pasadena,0,0.0
255,2020-03-30,Harbor,Unincorporated - East Rancho Dominguez,0,0.0
256,2020-03-30,Southeast,Unincorporated - East Whittier,,
257,2020-03-30,South Bay,Unincorporated - El Camino Village,0,0.0
258,2020-03-30,San Gabriel Valley,Unincorporated - El Monte,0,0.0
259,2020-03-30,Northwest County,Unincorporated - Elizabeth Lake,0,0.0
260,2020-03-30,South LA,Unincorporated - Florence-Firestone,0,0.0
261,2020-03-30,Central LA,Unincorporated - Franklin Canyon,0,0.0
262,2020-03-30,San Gabriel Valley,Unincorporated - Glendora,0,0.0
263,2020-03-30,San Gabriel Valley,Unincorporated - Hacienda Heights,2,3.66
264,2020-03-30,Harbor,Unincorporated - Harbor Gateway,0,0.0
265,2020-03-30,South Bay,Unincorporated - Hawthorne,,
266,2020-03-30,Antelope Valley,Unincorporated - Hi Vista,0,0.0
267,2020-03-30,Angeles Forest,Unincorporated - Kagel/Lopez Canyons,0,0.0
268,2020-03-30,Verdugos,Unincorporated - La Crescenta-Montrose,0,0.0
269,2020-03-30,San Gabriel Valley,Unincorporated - La Habra Heights,0,0.0
270,2020-03-30,Harbor,Unincorporated - La Rambla,,
