,Date,Region,Area,Cases,"Cases per 100,000"
22391,2020-06-04,Southeast,City of Bell,381,1048.66
22392,2020-06-04,Southeast,City of Bell Gardens,353,819.58
22393,2020-06-04,Southeast,City of Bellflower,439,564.74
22394,2020-06-04,Westside,City of Beverly Hills,141,408.46
22395,2020-06-04,San Gabriel Valley,City of Bradbury,4,374.18
22396,2020-06-04,San Fernando Valley,City of Burbank,408,380.67
22397,2020-06-04,Santa Monica Mountains,City of Calabasas,86,353.57
22398,2020-06-04,Harbor,City of Carson,453,482.71
22399,2020-06-04,Southeast,City of Cerritos,132,263.65
22400,2020-06-04,Pomona Valley,City of Claremont,56,153.49
22401,2020-06-04,,City of Commerce*,84,642.74
22402,2020-06-04,Southeast,City of Compton,701,701.67
22403,2020-06-04,San Gabriel Valley,City of Covina,196,399.74
22404,2020-06-04,Southeast,City of Cudahy,275,1129.5
22405,2020-06-04,Westside,City of Culver City,161,403.86
22406,2020-06-04,San Gabriel Valley,City of Diamond Bar,75,130.4
22407,2020-06-04,Southeast,City of Downey,808,707.14
22408,2020-06-04,San Gabriel Valley,City of Duarte,132,599.56
22409,2020-06-04,San Gabriel Valley,City of El Monte,650,554.28
22410,2020-06-04,South Bay,City of El Segundo,37,220.42
22411,2020-06-04,South Bay,City of Gardena,298,486.05
22412,2020-06-04,Verdugos,City of Glendale,1031,499.29
22413,2020-06-04,San Gabriel Valley,City of Glendora,161,305.13
22414,2020-06-04,Harbor,City of Hawaiian Gardens,79,538.29
22415,2020-06-04,South Bay,City of Hawthorne,429,483.18
22416,2020-06-04,South Bay,City of Hermosa Beach,35,177.94
22417,2020-06-04,Santa Monica Mountains,City of Hidden Hills,3,158.73
22418,2020-06-04,Southeast,City of Huntington Park,575,966.65
22419,2020-06-04,South Bay,City of Inglewood,657,578.44
22420,2020-06-04,San Gabriel Valley,City of Irwindale,4,274.16
22421,2020-06-04,Verdugos,City of La Canada Flintridge,52,251.29
22422,2020-06-04,San Gabriel Valley,City of La Habra Heights,10,183.32
22423,2020-06-04,Southeast,City of La Mirada,203,409.28
22424,2020-06-04,San Gabriel Valley,City of La Puente,148,363.66
22425,2020-06-04,Pomona Valley,City of La Verne,34,102.16
22426,2020-06-04,Harbor,City of Lakewood,210,261.32
22427,2020-06-04,,City of Lancaster*,655,405.4
22428,2020-06-04,South Bay,City of Lawndale,134,398.64
22429,2020-06-04,South Bay,City of Lomita,53,255.68
22430,2020-06-04,,City of Lynwood*,699,970.2
22431,2020-06-04,Santa Monica Mountains,City of Malibu,38,293.19
22432,2020-06-04,South Bay,City of Manhattan Beach,80,222.23
22433,2020-06-04,Southeast,City of Maywood,331,1180.08
22434,2020-06-04,San Gabriel Valley,City of Monrovia,169,435.57
22435,2020-06-04,Southeast,City of Montebello,443,688.16
22436,2020-06-04,San Gabriel Valley,City of Monterey Park,177,284.28
22437,2020-06-04,Southeast,City of Norwalk,558,518.48
22438,2020-06-04,Antelope Valley,City of Palmdale,793,498.84
22439,2020-06-04,Southeast,City of Paramount,397,708.64
22440,2020-06-04,Southeast,City of Pico Rivera,579,900.69
22441,2020-06-04,Pomona Valley,City of Pomona,600,384.79
22442,2020-06-04,South Bay,City of Rancho Palos Verdes,96,224.58
22443,2020-06-04,South Bay,City of Redondo Beach,146,212.53
22444,2020-06-04,South Bay,City of Rolling Hills,2,103.09
22445,2020-06-04,South Bay,City of Rolling Hills Estates,14,172.56
22446,2020-06-04,San Gabriel Valley,City of Rosemead,138,249.32
22447,2020-06-04,San Gabriel Valley,City of San Dimas,70,202.8
22448,2020-06-04,San Fernando Valley,City of San Fernando,203,824.8
22449,2020-06-04,San Gabriel Valley,City of San Gabriel,149,363.82
22450,2020-06-04,San Gabriel Valley,City of San Marino,22,165.7
22451,2020-06-04,Northwest County,City of Santa Clarita,807,366.11
22452,2020-06-04,Southeast,City of Santa Fe Springs,78,424.74
22453,2020-06-04,Westside,City of Santa Monica,293,316.94
22454,2020-06-04,San Gabriel Valley,City of Sierra Madre,12,109.2
22455,2020-06-04,Harbor,City of Signal Hill,37,313.64
22456,2020-06-04,San Gabriel Valley,City of South El Monte,104,497.97
22457,2020-06-04,Southeast,City of South Gate,734,747.8
22458,2020-06-04,San Gabriel Valley,City of South Pasadena,134,514.34
22459,2020-06-04,San Gabriel Valley,City of Temple City,173,474.56
22460,2020-06-04,South Bay,City of Torrance,410,274.67
22461,2020-06-04,Southeast,City of Vernon,4,1913.88
22462,2020-06-04,San Gabriel Valley,City of Walnut,52,170.31
22463,2020-06-04,San Gabriel Valley,City of West Covina,422,389.89
22464,2020-06-04,Central LA,City of West Hollywood,188,508.78
22465,2020-06-04,Santa Monica Mountains,City of Westlake Village,6,71.77
22466,2020-06-04,San Gabriel Valley,City of Whittier,355,406.03
22467,2020-06-04,,Los Angeles,27673,684.2
22468,2020-06-04,South LA,Los Angeles - Adams-Normandie,56,682.76
22469,2020-06-04,South LA,Los Angeles - Alsace,58,466.05
22470,2020-06-04,Angeles Forest,Los Angeles - Angeles National Forest,0,0.0
22471,2020-06-04,Central LA,Los Angeles - Angelino Heights,18,719.42
22472,2020-06-04,San Fernando Valley,Los Angeles - Arleta,295,858.31
22473,2020-06-04,Northeast LA,Los Angeles - Atwater Village,52,354.56
22474,2020-06-04,South LA,Los Angeles - Baldwin Hills,180,578.31
22475,2020-06-04,Westside,Los Angeles - Bel Air,38,450.82
22476,2020-06-04,Westside,Los Angeles - Beverly Crest,37,295.41
22477,2020-06-04,Westside,Los Angeles - Beverlywood,37,280.88
22478,2020-06-04,,Los Angeles - Boyle Heights*,869,1000.18
22479,2020-06-04,Westside,Los Angeles - Brentwood,83,268.13
22480,2020-06-04,Central LA,Los Angeles - Brookside,0,0.0
22481,2020-06-04,Central LA,Los Angeles - Cadillac-Corning,33,463.42
22482,2020-06-04,San Fernando Valley,Los Angeles - Canoga Park,543,831.69
22483,2020-06-04,Central LA,Los Angeles - Carthay,84,584.84
22484,2020-06-04,Central LA,Los Angeles - Central,495,1269.49
22485,2020-06-04,Westside,Los Angeles - Century City,36,281.43
22486,2020-06-04,South LA,Los Angeles - Century Palms/Cove,341,1009.89
22487,2020-06-04,San Fernando Valley,Los Angeles - Chatsworth,207,558.54
22488,2020-06-04,Westside,Los Angeles - Cheviot Hills,22,239.89
22489,2020-06-04,Central LA,Los Angeles - Chinatown,26,324.15
22490,2020-06-04,Central LA,Los Angeles - Cloverdale/Cochran,78,535.97
22491,2020-06-04,Central LA,Los Angeles - Country Club Park,104,686.33
22492,2020-06-04,South LA,Los Angeles - Crenshaw District,81,585.73
22493,2020-06-04,Central LA,Los Angeles - Crestview,92,809.29
22494,2020-06-04,Westside,Los Angeles - Del Rey,84,280.6
22495,2020-06-04,,Los Angeles - Downtown*,161,585.31
22496,2020-06-04,Northeast LA,Los Angeles - Eagle Rock,190,479.93
22497,2020-06-04,Central LA,Los Angeles - East Hollywood,236,805.82
22498,2020-06-04,Central LA,Los Angeles - Echo Park,50,350.73
22499,2020-06-04,Eastside,Los Angeles - El Sereno,194,464.03
22500,2020-06-04,Central LA,Los Angeles - Elysian Park,16,280.11
22501,2020-06-04,Central LA,Los Angeles - Elysian Valley,63,619.41
22502,2020-06-04,San Fernando Valley,Los Angeles - Encino,139,307.71
22503,2020-06-04,South LA,Los Angeles - Exposition,12,360.79
22504,2020-06-04,Central LA,Los Angeles - Exposition Park,286,636.73
22505,2020-06-04,Central LA,Los Angeles - Faircrest Heights,5,138.89
22506,2020-06-04,South LA,Los Angeles - Figueroa Park Square,42,481.6
22507,2020-06-04,South LA,Los Angeles - Florence-Firestone,473,996.94
22508,2020-06-04,Northeast LA,Los Angeles - Glassell Park,192,607.52
22509,2020-06-04,South LA,Los Angeles - Gramercy Place,74,687.48
22510,2020-06-04,San Fernando Valley,Los Angeles - Granada Hills,380,653.02
22511,2020-06-04,South LA,Los Angeles - Green Meadows,199,925.37
22512,2020-06-04,Central LA,Los Angeles - Hancock Park,83,487.12
22513,2020-06-04,Harbor,Los Angeles - Harbor City,113,388.72
22514,2020-06-04,Harbor,Los Angeles - Harbor Gateway,163,373.85
22515,2020-06-04,Harbor,Los Angeles - Harbor Pines,9,373.6
22516,2020-06-04,Central LA,Los Angeles - Harvard Heights,150,831.72
22517,2020-06-04,South LA,Los Angeles - Harvard Park,356,938.45
22518,2020-06-04,Northeast LA,Los Angeles - Highland Park,223,460.83
22519,2020-06-04,Central LA,Los Angeles - Historic Filipinotown,147,1059.84
22520,2020-06-04,Central LA,Los Angeles - Hollywood,290,424.88
22521,2020-06-04,Central LA,Los Angeles - Hollywood Hills,86,292.18
22522,2020-06-04,South LA,Los Angeles - Hyde Park,175,613.15
22523,2020-06-04,South LA,Los Angeles - Jefferson Park,42,520.25
22524,2020-06-04,Central LA,Los Angeles - Koreatown,314,607.43
22525,2020-06-04,Central LA,Los Angeles - Lafayette Square,21,460.63
22526,2020-06-04,San Fernando Valley,Los Angeles - Lake Balboa,219,518.88
22527,2020-06-04,San Fernando Valley,Los Angeles - Lakeview Terrace,120,913.73
22528,2020-06-04,South LA,Los Angeles - Leimert Park,63,413.52
22529,2020-06-04,Eastside,Los Angeles - Lincoln Heights,299,917.26
22530,2020-06-04,Central LA,Los Angeles - Little Armenia,210,2616.82
22531,2020-06-04,Central LA,Los Angeles - Little Bangladesh,159,560.99
22532,2020-06-04,Central LA,Los Angeles - Little Tokyo,23,734.12
22533,2020-06-04,Central LA,Los Angeles - Longwood,27,627.32
22534,2020-06-04,Central LA,Los Angeles - Los Feliz,54,249.91
22535,2020-06-04,South LA,Los Angeles - Manchester Square,27,316.31
22536,2020-06-04,Westside,Los Angeles - Mandeville Canyon,2,64.02
22537,2020-06-04,Westside,Los Angeles - Mar Vista,87,204.85
22538,2020-06-04,Westside,Los Angeles - Marina Peninsula,14,321.1
22539,2020-06-04,Central LA,Los Angeles - Melrose,594,764.52
22540,2020-06-04,Central LA,Los Angeles - Mid-city,119,791.75
22541,2020-06-04,Central LA,Los Angeles - Miracle Mile,43,239.09
22542,2020-06-04,San Fernando Valley,Los Angeles - Mission Hills,171,708.84
22543,2020-06-04,Northeast LA,Los Angeles - Mt. Washington,111,459.72
22544,2020-06-04,San Fernando Valley,Los Angeles - North Hollywood,771,509.18
22545,2020-06-04,San Fernando Valley,Los Angeles - Northridge,375,537.27
22546,2020-06-04,Westside,Los Angeles - Pacific Palisades,59,277.11
22547,2020-06-04,San Fernando Valley,Los Angeles - Pacoima,848,1101.6
22548,2020-06-04,Westside,Los Angeles - Palms,195,444.42
22549,2020-06-04,San Fernando Valley,Los Angeles - Panorama City,859,1141.53
22550,2020-06-04,Central LA,Los Angeles - Park La Brea,21,154.64
22551,2020-06-04,Central LA,Los Angeles - Pico-Union,622,1486.54
22552,2020-06-04,South Bay,Los Angeles - Playa Del Rey,3,93.87
22553,2020-06-04,Westside,Los Angeles - Playa Vista,30,274.05
22554,2020-06-04,San Fernando Valley,Los Angeles - Porter Ranch,94,264.13
22555,2020-06-04,Westside,Los Angeles - Rancho Park,18,274.39
22556,2020-06-04,Central LA,Los Angeles - Regent Square,4,143.88
22557,2020-06-04,San Fernando Valley,Los Angeles - Reseda,671,875.78
22558,2020-06-04,San Fernando Valley,Los Angeles - Reseda Ranch,30,647.11
22559,2020-06-04,Central LA,Los Angeles - Reynier Village,12,283.82
22560,2020-06-04,,Los Angeles - San Pedro*,936,1199.42
22561,2020-06-04,San Fernando Valley,Los Angeles - Shadow Hills,11,247.64
22562,2020-06-04,San Fernando Valley,Los Angeles - Sherman Oaks,246,281.94
22563,2020-06-04,Central LA,Los Angeles - Silverlake,196,444.62
22564,2020-06-04,Central LA,Los Angeles - South Carthay,36,339.78
22565,2020-06-04,South LA,Los Angeles - South Park,443,1166.99
22566,2020-06-04,Central LA,Los Angeles - St Elmo Village,49,1068.94
22567,2020-06-04,San Fernando Valley,Los Angeles - Studio City,86,383.24
22568,2020-06-04,San Fernando Valley,Los Angeles - Sun Valley,337,642.11
22569,2020-06-04,Verdugos,Los Angeles - Sunland,162,793.81
22570,2020-06-04,Central LA,Los Angeles - Sycamore Square,1,154.56
22571,2020-06-04,,Los Angeles - Sylmar*,883,1071.63
22572,2020-06-04,San Fernando Valley,Los Angeles - Tarzana,187,605.65
22573,2020-06-04,Central LA,Los Angeles - Temple-Beaudry,355,899.14
22574,2020-06-04,Central LA,Los Angeles - Thai Town,33,336.43
22575,2020-06-04,San Fernando Valley,Los Angeles - Toluca Lake,20,229.78
22576,2020-06-04,San Fernando Valley,Los Angeles - Toluca Terrace,6,459.42
22577,2020-06-04,San Fernando Valley,Los Angeles - Toluca Woods,3,161.46
22578,2020-06-04,Verdugos,Los Angeles - Tujunga,131,471.05
22579,2020-06-04,San Gabriel Valley,Los Angeles - University Hills,13,379.12
22580,2020-06-04,South LA,Los Angeles - University Park,219,797.64
22581,2020-06-04,San Fernando Valley,Los Angeles - Valley Glen,145,483.08
22582,2020-06-04,San Fernando Valley,Los Angeles - Valley Village,221,894.01
22583,2020-06-04,San Fernando Valley,Los Angeles - Van Nuys,813,872.37
22584,2020-06-04,Westside,Los Angeles - Venice,67,197.73
22585,2020-06-04,South LA,Los Angeles - Vermont Knolls,182,1058.14
22586,2020-06-04,South LA,Los Angeles - Vermont Square,89,1162.34
22587,2020-06-04,South LA,Los Angeles - Vermont Vista,394,956.64
22588,2020-06-04,South LA,Los Angeles - Vernon Central,699,1344.28
22589,2020-06-04,Central LA,Los Angeles - Victoria Park,62,738.18
22590,2020-06-04,South LA,Los Angeles - View Heights,10,270.71
22591,2020-06-04,South LA,Los Angeles - Watts,352,824.86
22592,2020-06-04,Central LA,Los Angeles - Wellington Square,25,508.65
22593,2020-06-04,South LA,Los Angeles - West Adams,249,901.19
22594,2020-06-04,San Fernando Valley,Los Angeles - West Hills,149,367.49
22595,2020-06-04,Westside,Los Angeles - West Los Angeles,85,225.85
22596,2020-06-04,South LA,Los Angeles - West Vernon,534,995.45
22597,2020-06-04,South Bay,Los Angeles - Westchester,103,199.6
22598,2020-06-04,Central LA,Los Angeles - Westlake,830,1398.37
22599,2020-06-04,Westside,Los Angeles - Westwood,76,140.46
22600,2020-06-04,,Los Angeles - Wholesale District*,761,2106.34
22601,2020-06-04,Harbor,Los Angeles - Wilmington,308,545.26
22602,2020-06-04,Central LA,Los Angeles - Wilshire Center,271,540.16
22603,2020-06-04,San Fernando Valley,Los Angeles - Winnetka,327,631.44
22604,2020-06-04,San Fernando Valley,Los Angeles - Woodland Hills,174,255.68
22605,2020-06-04,Northwest County,Unincorporated - Agua Dulce,9,216.45
22606,2020-06-04,Verdugos,Unincorporated - Altadena,164,375.97
22607,2020-06-04,Antelope Valley,Unincorporated - Anaverde,2,132.63
22608,2020-06-04,Angeles Forest,Unincorporated - Angeles National Forest,2,160.64
22609,2020-06-04,San Gabriel Valley,Unincorporated - Arcadia,10,125.3
22610,2020-06-04,South LA,Unincorporated - Athens-Westmont,253,596.11
22611,2020-06-04,South LA,Unincorporated - Athens Village,34,694.3
22612,2020-06-04,San Gabriel Valley,Unincorporated - Avocado Heights,32,472.32
22613,2020-06-04,San Gabriel Valley,Unincorporated - Azusa,73,458.46
22614,2020-06-04,San Gabriel Valley,Unincorporated - Bassett,114,769.39
22615,2020-06-04,Northwest County,Unincorporated - Bouquet Canyon,1,93.2
22616,2020-06-04,San Gabriel Valley,Unincorporated - Bradbury,0,0.0
22617,2020-06-04,Northwest County,Unincorporated - Canyon Country,36,465.84
22618,2020-06-04,,Unincorporated - Castaic*,930,3420.25
22619,2020-06-04,Southeast,Unincorporated - Cerritos,0,0.0
22620,2020-06-04,San Gabriel Valley,Unincorporated - Charter Oak,0,0.0
22621,2020-06-04,Pomona Valley,Unincorporated - Claremont,0,0.0
22622,2020-06-04,San Gabriel Valley,Unincorporated - Covina,62,368.63
22623,2020-06-04,South Bay,Unincorporated - Del Aire,16,364.22
22624,2020-06-04,Westside,Unincorporated - Del Rey,1,314.47
22625,2020-06-04,Antelope Valley,Unincorporated - Del Sur,2,82.82
22626,2020-06-04,Antelope Valley,Unincorporated - Desert View Highlands,6,240.67
22627,2020-06-04,San Gabriel Valley,Unincorporated - Duarte,16,361.34
22628,2020-06-04,San Gabriel Valley,Unincorporated - East Covina,0,0.0
22629,2020-06-04,Southeast,Unincorporated - East La Mirada,18,340.14
22630,2020-06-04,Antelope Valley,Unincorporated - East Lancaster,0,0.0
22631,2020-06-04,Eastside,Unincorporated - East Los Angeles,1191,950.75
22632,2020-06-04,San Gabriel Valley,Unincorporated - East Pasadena,4,62.47
22633,2020-06-04,Harbor,Unincorporated - East Rancho Dominguez,70,457.28
22634,2020-06-04,Southeast,Unincorporated - East Whittier,12,226.16
22635,2020-06-04,South Bay,Unincorporated - El Camino Village,44,500.51
22636,2020-06-04,San Gabriel Valley,Unincorporated - El Monte,0,0.0
22637,2020-06-04,Northwest County,Unincorporated - Elizabeth Lake,3,180.61
22638,2020-06-04,South LA,Unincorporated - Florence-Firestone,683,1055.56
22639,2020-06-04,Central LA,Unincorporated - Franklin Canyon,0,0.0
22640,2020-06-04,San Gabriel Valley,Unincorporated - Glendora,3,454.55
22641,2020-06-04,San Gabriel Valley,Unincorporated - Hacienda Heights,168,300.4
22642,2020-06-04,Harbor,Unincorporated - Harbor Gateway,0,0.0
22643,2020-06-04,South Bay,Unincorporated - Hawthorne,6,238.66
22644,2020-06-04,Antelope Valley,Unincorporated - Hi Vista,1,91.07
22645,2020-06-04,Angeles Forest,Unincorporated - Kagel/Lopez Canyons,8,566.57
22646,2020-06-04,Verdugos,Unincorporated - La Crescenta-Montrose,32,161.61
22647,2020-06-04,San Gabriel Valley,Unincorporated - La Habra Heights,0,0.0
22648,2020-06-04,Harbor,Unincorporated - La Rambla,12,578.31
22649,2020-06-04,Pomona Valley,Unincorporated - La Verne,5,245.1
22650,2020-06-04,Westside,Unincorporated - Ladera Heights,20,282.85
22651,2020-06-04,Northwest County,Unincorporated - Lake Hughes,1,149.7
22652,2020-06-04,Antelope Valley,Unincorporated - Lake Los Angeles,32,246.27
22653,2020-06-04,San Fernando Valley,Unincorporated - Lake Manor,4,243.46
22654,2020-06-04,Harbor,Unincorporated - Lakewood,0,0.0
22655,2020-06-04,South Bay,Unincorporated - Lennox,115,510.16
22656,2020-06-04,Antelope Valley,Unincorporated - Leona Valley,3,171.33
22657,2020-06-04,Antelope Valley,Unincorporated - Littlerock,16,397.91
22658,2020-06-04,Antelope Valley,Unincorporated - Littlerock/Juniper Hills,2,154.2
22659,2020-06-04,Antelope Valley,Unincorporated - Littlerock/Pearblossom,20,560.38
22660,2020-06-04,Antelope Valley,Unincorporated - Llano,1,114.03
22661,2020-06-04,Westside,Unincorporated - Marina del Rey,15,159.39
22662,2020-06-04,Central LA,Unincorporated - Miracle Mile,0,0.0
22663,2020-06-04,San Gabriel Valley,Unincorporated - Monrovia,21,541.1
22664,2020-06-04,Northwest County,Unincorporated - Newhall,1,454.55
22665,2020-06-04,Antelope Valley,Unincorporated - North Lancaster,6,500.83
22666,2020-06-04,San Gabriel Valley,Unincorporated - North Whittier,15,179.43
22667,2020-06-04,San Gabriel Valley,Unincorporated - Northeast San Gabriel,62,257.95
22668,2020-06-04,Antelope Valley,Unincorporated - Palmdale,4,475.06
22669,2020-06-04,South Bay,Unincorporated - Palos Verdes Peninsula,0,0.0
22670,2020-06-04,Antelope Valley,Unincorporated - Pearblossom/Llano,3,153.37
22671,2020-06-04,San Gabriel Valley,Unincorporated - Pellissier Village,1,161.55
22672,2020-06-04,Angeles Forest,Unincorporated - Placerita Canyon,0,0.0
22673,2020-06-04,Pomona Valley,Unincorporated - Pomona,3,154.8
22674,2020-06-04,Antelope Valley,Unincorporated - Quartz Hill,46,356.42
22675,2020-06-04,Harbor,Unincorporated - Rancho Dominguez,20,751.6
22676,2020-06-04,Antelope Valley,Unincorporated - Roosevelt,0,0.0
22677,2020-06-04,Southeast,Unincorporated - Rosewood,8,622.08
22678,2020-06-04,South LA,Unincorporated - Rosewood/East Gardena,0,0.0
22679,2020-06-04,Southeast,Unincorporated - Rosewood/West Rancho Dominguez,28,833.09
22680,2020-06-04,San Gabriel Valley,Unincorporated - Rowland Heights,157,307.71
22681,2020-06-04,Harbor,Unincorporated - San Clemente Island,0,0.0
22682,2020-06-04,Northwest County,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0.0
22683,2020-06-04,San Gabriel Valley,Unincorporated - San Jose Hills,78,385.74
22684,2020-06-04,San Gabriel Valley,Unincorporated - San Pasqual,1,49.14
22685,2020-06-04,Angeles Forest,Unincorporated - Sand Canyon,0,0.0
22686,2020-06-04,Harbor,Unincorporated - Santa Catalina Island,2,749.06
22687,2020-06-04,Santa Monica Mountains,Unincorporated - Santa Monica Mountains,26,139.63
22688,2020-06-04,Northwest County,Unincorporated - Saugus,4,2580.65
22689,2020-06-04,Northwest County,Unincorporated - Saugus/Canyon Country,0,0.0
22690,2020-06-04,Antelope Valley,Unincorporated - South Antelope Valley,1,219.78
22691,2020-06-04,San Gabriel Valley,Unincorporated - South El Monte,9,501.39
22692,2020-06-04,San Gabriel Valley,Unincorporated - South San Gabriel,42,474.68
22693,2020-06-04,Southeast,Unincorporated - South Whittier,180,303.94
22694,2020-06-04,Antelope Valley,Unincorporated - Southeast Antelope Valley,0,0.0
22695,2020-06-04,Northwest County,Unincorporated - Stevenson Ranch,34,162.17
22696,2020-06-04,Antelope Valley,Unincorporated - Sun Village,20,331.35
22697,2020-06-04,San Gabriel Valley,Unincorporated - Sunrise Village,5,385.8
22698,2020-06-04,Northwest County,Unincorporated - Twin Lakes/Oat Mountain,4,241.25
22699,2020-06-04,Northwest County,Unincorporated - Val Verde,28,846.18
22700,2020-06-04,Northwest County,Unincorporated - Valencia,9,292.97
22701,2020-06-04,South LA,Unincorporated - View Park/Windsor Hills,37,318.01
22702,2020-06-04,Southeast,Unincorporated - Walnut Park,147,910.61
22703,2020-06-04,Antelope Valley,Unincorporated - West Antelope Valley,2,132.36
22704,2020-06-04,Harbor,Unincorporated - West Carson,109,493.53
22705,2020-06-04,San Fernando Valley,Unincorporated - West Chatsworth,0,0.0
22706,2020-06-04,San Gabriel Valley,Unincorporated - West Puente Valley,47,477.89
22707,2020-06-04,Harbor,Unincorporated - West Rancho Dominguez,10,735.84
22708,2020-06-04,Southeast,Unincorporated - West Whittier/Los Nietos,187,694.52
22709,2020-06-04,South Bay,Unincorporated - Westfield/Academy Hills,0,0.0
22710,2020-06-04,San Fernando Valley,Unincorporated - Westhills,0,0.0
22711,2020-06-04,Antelope Valley,Unincorporated - White Fence Farms,6,162.91
22712,2020-06-04,San Gabriel Valley,Unincorporated - Whittier,15,396.41
22713,2020-06-04,San Gabriel Valley,Unincorporated - Whittier Narrows,0,0.0
22714,2020-06-04,South LA,Unincorporated - Willowbrook,273,781.94
22715,2020-06-04,South Bay,Unincorporated - Wiseburn,19,315.25
22716,2020-06-04,Harbor,City of Long Beach,2118,457.82
22717,2020-06-04,Verdugos,City of Pasadena,943,668.66
22718,2020-06-05,Santa Monica Mountains,City of Agoura Hills,35,167.6
22719,2020-06-05,San Gabriel Valley,City of Alhambra,231,266.36
22720,2020-06-05,San Gabriel Valley,City of Arcadia,95,164.49
22721,2020-06-05,Southeast,City of Artesia,41,244.12
22722,2020-06-05,Harbor,City of Avalon,0,0.0
22723,2020-06-05,San Gabriel Valley,City of Azusa,212,423.66
22724,2020-06-05,San Gabriel Valley,City of Baldwin Park,393,511.93
22725,2020-06-05,Southeast,City of Bell,400,1100.96
22726,2020-06-05,Southeast,City of Bell Gardens,358,831.19
22727,2020-06-05,Southeast,City of Bellflower,446,573.74
22728,2020-06-05,Westside,City of Beverly Hills,144,417.15
22729,2020-06-05,San Gabriel Valley,City of Bradbury,4,374.18
22730,2020-06-05,San Fernando Valley,City of Burbank,408,380.67
22731,2020-06-05,Santa Monica Mountains,City of Calabasas,87,357.69
22732,2020-06-05,Harbor,City of Carson,458,488.03
22733,2020-06-05,Southeast,City of Cerritos,135,269.64
22734,2020-06-05,Pomona Valley,City of Claremont,58,158.97
22735,2020-06-05,,City of Commerce*,85,650.39
22736,2020-06-05,Southeast,City of Compton,725,725.7
22737,2020-06-05,San Gabriel Valley,City of Covina,203,414.02
22738,2020-06-05,Southeast,City of Cudahy,286,1174.68
22739,2020-06-05,Westside,City of Culver City,162,406.37
22740,2020-06-05,San Gabriel Valley,City of Diamond Bar,76,132.14
22741,2020-06-05,Southeast,City of Downey,829,725.52
22742,2020-06-05,San Gabriel Valley,City of Duarte,135,613.19
22743,2020-06-05,San Gabriel Valley,City of El Monte,663,565.37
22744,2020-06-05,South Bay,City of El Segundo,37,220.42
22745,2020-06-05,South Bay,City of Gardena,304,495.84
22746,2020-06-05,Verdugos,City of Glendale,1040,503.65
22747,2020-06-05,San Gabriel Valley,City of Glendora,162,307.03
22748,2020-06-05,Harbor,City of Hawaiian Gardens,84,572.36
22749,2020-06-05,South Bay,City of Hawthorne,436,491.06
22750,2020-06-05,South Bay,City of Hermosa Beach,36,183.02
22751,2020-06-05,Santa Monica Mountains,City of Hidden Hills,3,158.73
22752,2020-06-05,Southeast,City of Huntington Park,598,1005.31
22753,2020-06-05,South Bay,City of Inglewood,667,587.24
22754,2020-06-05,San Gabriel Valley,City of Irwindale,4,274.16
22755,2020-06-05,Verdugos,City of La Canada Flintridge,52,251.29
22756,2020-06-05,San Gabriel Valley,City of La Habra Heights,10,183.32
22757,2020-06-05,Southeast,City of La Mirada,205,413.31
22758,2020-06-05,San Gabriel Valley,City of La Puente,149,366.12
22759,2020-06-05,Pomona Valley,City of La Verne,34,102.16
22760,2020-06-05,Harbor,City of Lakewood,214,266.3
22761,2020-06-05,,City of Lancaster*,662,409.73
22762,2020-06-05,South Bay,City of Lawndale,135,401.62
22763,2020-06-05,South Bay,City of Lomita,53,255.68
22764,2020-06-05,,City of Lynwood*,719,997.96
22765,2020-06-05,Santa Monica Mountains,City of Malibu,39,300.9
22766,2020-06-05,South Bay,City of Manhattan Beach,82,227.78
22767,2020-06-05,Southeast,City of Maywood,343,1222.86
22768,2020-06-05,San Gabriel Valley,City of Monrovia,170,438.14
22769,2020-06-05,Southeast,City of Montebello,454,705.24
22770,2020-06-05,San Gabriel Valley,City of Monterey Park,179,287.49
22771,2020-06-05,Southeast,City of Norwalk,578,537.06
22772,2020-06-05,Antelope Valley,City of Palmdale,801,503.87
22773,2020-06-05,Southeast,City of Paramount,416,742.55
22774,2020-06-05,Southeast,City of Pico Rivera,595,925.58
22775,2020-06-05,Pomona Valley,City of Pomona,618,396.33
22776,2020-06-05,South Bay,City of Rancho Palos Verdes,96,224.58
22777,2020-06-05,South Bay,City of Redondo Beach,147,213.98
22778,2020-06-05,South Bay,City of Rolling Hills,2,103.09
22779,2020-06-05,South Bay,City of Rolling Hills Estates,14,172.56
22780,2020-06-05,San Gabriel Valley,City of Rosemead,138,249.32
22781,2020-06-05,San Gabriel Valley,City of San Dimas,71,205.7
22782,2020-06-05,San Fernando Valley,City of San Fernando,206,836.99
22783,2020-06-05,San Gabriel Valley,City of San Gabriel,153,373.59
22784,2020-06-05,San Gabriel Valley,City of San Marino,23,173.23
22785,2020-06-05,Northwest County,City of Santa Clarita,822,372.92
22786,2020-06-05,Southeast,City of Santa Fe Springs,81,441.08
22787,2020-06-05,Westside,City of Santa Monica,300,324.51
22788,2020-06-05,San Gabriel Valley,City of Sierra Madre,12,109.2
22789,2020-06-05,Harbor,City of Signal Hill,37,313.64
22790,2020-06-05,San Gabriel Valley,City of South El Monte,105,502.75
22791,2020-06-05,Southeast,City of South Gate,778,792.62
22792,2020-06-05,San Gabriel Valley,City of South Pasadena,134,514.34
