Date,Region,Cases,Case Rate,dt[Cases],dt[Case Rate]
2020-04-15,Eastside,236,84.69,11,5.42
2020-04-15,Harbor,740,187.9,32,7.41
2020-04-15,Northeast LA,187,110.94,8,4.75
2020-04-15,Northwest County,200,72.41,9,3.41
2020-04-15,Pomona Valley,80,35.02,2,0.88
2020-04-15,San Fernando Valley,1679,102.27,91,5.51
2020-04-15,San Gabriel Valley,662,44.83,36,2.44
2020-04-15,Santa Monica Mountains,78,103.78,0,0.0
2020-04-15,South Bay,838,108.02,26,3.35
2020-04-15,South LA,897,106.4,51,6.05
2020-04-15,Southeast,1046,84.14,54,4.28
2020-04-15,Verdugos,587,173.25,31,9.15
2020-04-15,Westside,700,124.4,13,2.31
2020-04-16,Angeles Forest,0,0.0,0,0.0
2020-04-16,Antelope Valley,238,61.46,9,1.73
2020-04-16,Central LA,1502,172.77,54,5.85
2020-04-16,Eastside,250,90.59,14,5.9
2020-04-16,Harbor,768,194.75,28,6.85
2020-04-16,Northeast LA,190,112.72,3,1.78
2020-04-16,Northwest County,213,77.34,13,4.93
2020-04-16,Pomona Valley,85,37.21,5,2.19
2020-04-16,San Fernando Valley,1737,105.62,58,3.35
2020-04-16,San Gabriel Valley,687,46.52,25,1.69
2020-04-16,Santa Monica Mountains,78,103.78,0,0.0
2020-04-16,South Bay,859,110.73,21,2.71
2020-04-16,South LA,923,109.48,26,3.08
2020-04-16,Southeast,1117,89.48,71,5.34
2020-04-16,Verdugos,603,177.97,16,4.72
2020-04-16,Westside,711,126.35,11,1.95
2020-04-17,Angeles Forest,0,0.0,0,0.0
2020-04-17,Antelope Valley,260,68.39,22,6.93
2020-04-17,Central LA,1561,179.34,59,6.57
2020-04-17,Eastside,256,94.04,6,3.45
2020-04-17,Harbor,817,204.9,49,10.15
2020-04-17,Northeast LA,199,118.05,9,5.33
2020-04-17,Northwest County,224,81.51,11,4.17
2020-04-17,Pomona Valley,93,40.71,8,3.5
2020-04-17,San Fernando Valley,1832,111.2,95,5.58
2020-04-17,San Gabriel Valley,739,50.04,52,3.52
2020-04-17,Santa Monica Mountains,81,108.16,3,4.38
2020-04-17,South Bay,897,115.63,38,4.9
2020-04-17,South LA,987,117.08,64,7.6
2020-04-17,Southeast,1188,95.16,71,5.68
2020-04-17,Verdugos,647,190.95,44,12.98
2020-04-17,Westside,723,128.48,12,2.13
2020-04-18,Angeles Forest,0,0.0,0,0.0
2020-04-18,Antelope Valley,289,75.75,29,7.36
2020-04-18,Central LA,1660,190.45,99,11.11
