"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"314","Unincorporated - Willowbrook",363,1040,1069,9,26,37,3003,8601,8807,34913
"315","Unincorporated - Wiseburn",22,365,327,0,0,0,453,7516,7397,6027
"316","City of Avalon",0,0,0,0,0,0,43,1111,1100,3869
"317","Unincorporated - Bradbury",0,0,0,0,0,0,72,66667,6275,108
"318","Unincorporated - Cerritos",0,0,0,0,0,0,28,4770,4749,587
"319","Unincorporated - Claremont",0,0,0,0,0,0,29,4131,5347,702
"320","Unincorporated - East Covina",0,0,0,0,0,0,16,4863,5799,329
"321","Unincorporated - East Lancaster",0,0,0,0,0,0,3,2632,895,114
"322","Unincorporated - El Monte",0,0,0,0,0,0,6,4138,4054,145
"323","Unincorporated - Harbor Gateway",0,0,0,0,0,0,2,2e+05,9407,1
"324","Unincorporated - La Habra Heights",0,0,0,0,0,0,9,1331,2167,676
"325","Unincorporated - Palos Verdes Peninsula",0,0,0,0,0,0,36,5797,7086,621
"326","Unincorporated - Placerita Canyon",0,0,0,0,0,0,7,1522,2018,460
"327","Unincorporated - Sand Canyon",0,0,0,0,0,0,21,6818,13557,308
"328","Unincorporated - Saugus/Canyon Country",0,0,0,0,0,0,29,8146,8309,356
"329","Unincorporated - Southeast Antelope Valley",0,0,0,0,0,0,30,3841,3546,781
"330","Unincorporated - Westfield/Academy Hills",0,0,0,0,0,0,56,4308,3654,1300
"331","Unincorporated - Westhills",0,0,0,0,0,0,66,7867,9090,839
"332","Unincorporated - Whittier Narrows",0,0,0,0,0,0,2,16667,7860,12
