Date,Region,Cases,New cases,"New cases, 14-day avg",Cases per 100k,"New cases, 14-day avg per 100k"
2020-05-17,West,1734,26,26.1,259.9,3.92
2020-05-17,South,3921,109,105.6,373.2,10.05
2020-05-17,East,4478,81,116.5,339.0,8.82
2020-05-17,South Bay,5397,124,113.7,343.9,7.24
2020-05-18,Antelope Valley,1198,21,22.3,301.6,5.61
2020-05-18,San Fernando,10395,123,245.5,462.3,10.92
2020-05-18,San Gabriel,4198,47,112.9,231.4,6.22
2020-05-18,Metro,5181,48,123.1,434.7,10.33
2020-05-18,West,1745,11,25.5,261.5,3.82
2020-05-18,South,3998,77,108.4,380.5,10.31
2020-05-18,East,4584,106,120.6,347.0,9.13
2020-05-18,South Bay,5460,63,114.1,347.9,7.27
2020-05-19,Antelope Valley,1216,18,20.4,306.1,5.14
2020-05-19,San Fernando,10582,187,218.9,470.7,9.73
2020-05-19,San Gabriel,4333,135,112.1,238.8,6.18
2020-05-19,Metro,5355,174,119.2,449.3,10.0
2020-05-19,West,1769,24,24.1,265.1,3.62
2020-05-19,South,4152,154,103.6,395.2,9.86
2020-05-19,East,4813,229,124.1,364.4,9.39
2020-05-19,South Bay,5535,75,108.3,352.6,6.9
2020-05-20,Antelope Valley,1229,13,19.1,309.4,4.82
2020-05-20,San Fernando,10781,199,219.2,479.5,9.75
2020-05-20,San Gabriel,4505,172,115.6,248.3,6.37
2020-05-20,Metro,5544,189,123.1,465.2,10.33
2020-05-20,West,1784,15,23.1,267.4,3.47
2020-05-20,South,4309,157,106.5,410.1,10.14
2020-05-20,East,5177,364,142.1,391.9,10.76
2020-05-20,South Bay,5675,140,109.1,361.6,6.95
2020-05-21,Antelope Valley,1254,25,19.2,315.7,4.84
2020-05-21,San Fernando,10986,205,219.0,488.6,9.74
2020-05-21,San Gabriel,4707,202,120.7,259.4,6.65
2020-05-21,Metro,5682,138,124.9,476.8,10.48
2020-05-21,West,1802,18,22.4,270.1,3.35
2020-05-21,South,4443,134,109.6,422.9,10.44
2020-05-21,East,5364,187,148.6,406.1,11.25
2020-05-21,South Bay,5791,116,112.9,369.0,7.19
2020-05-22,Antelope Valley,1267,13,19.2,318.9,4.84
2020-05-22,San Fernando,11186,200,212.9,497.5,9.47
2020-05-22,San Gabriel,4853,146,124.8,267.5,6.88
2020-05-22,Metro,5800,118,124.1,486.7,10.42
2020-05-22,West,1821,19,22.1,272.9,3.32
2020-05-22,South,4627,184,118.8,440.4,11.31
2020-05-22,East,5544,180,152.3,419.7,11.53
2020-05-22,South Bay,5948,157,115.9,379.0,7.38
2020-05-23,Antelope Valley,1307,40,20.5,329.0,5.16
2020-05-23,San Fernando,11474,288,215.2,510.3,9.57
2020-05-23,San Gabriel,5012,159,125.9,276.2,6.94
2020-05-23,Metro,5934,134,125.8,497.9,10.55
2020-05-23,West,1838,17,21.4,275.5,3.21
2020-05-23,South,4782,155,122.8,455.1,11.69
2020-05-23,East,5710,166,156.8,432.3,11.87
2020-05-23,South Bay,6055,107,114.7,385.8,7.31
