Date,Age,Cases,Cases per 100k,"New cases, 14-day avg per 100k"
2020-06-22,18 to 40,32831,1015.7270472170297,20.593690529890086
2020-06-22,41 to 65,30739,975.9912316686119,15.74164774161218
2020-06-22,over 65,12071,1029.4621825519337,10.56302250106544
2020-06-23,0 to 17,5889,280.8302924755221,7.875210879889954
2020-06-23,18 to 40,33914,1049.2329529809738,21.917397003482122
2020-06-23,41 to 65,31483,999.6139089307691,16.474186600644128
2020-06-23,over 65,12311,1049.9303230384273,11.361036311699566
2020-06-24,0 to 17,5954,283.92996457790093,7.640180797401889
2020-06-24,18 to 40,34360,1063.0313222983505,21.884249095128396
2020-06-24,41 to 65,31816,1010.1869620602023,16.353986725942292
2020-06-24,over 65,12443,1061.1878003059987,11.458503647349534
2020-06-25,0 to 17,6127,292.17986109654,7.459650444186418
2020-06-25,18 to 40,35249,1090.5352467897135,22.10081542970606
2020-06-25,41 to 65,32412,1029.110504598167,16.30409243833021
2020-06-25,over 65,12607,1075.1743629717694,11.769180779733812
2020-06-26,0 to 17,6304,300.62050666763315,7.555024970413459
2020-06-26,18 to 40,36081,1116.2757025566584,22.401356465446487
2020-06-26,41 to 65,32926,1045.4304724916462,16.279145294524163
2020-06-26,over 65,12730,1085.6642849710972,11.732630528865075
2020-06-27,0 to 17,6507,310.3010210796778,7.6742431281972605
2020-06-27,18 to 40,37045,1146.099980632782,23.03116672416724
2020-06-27,41 to 65,33555,1065.4017950694647,16.632941152137118
2020-06-27,over 65,12896,1099.8214154742554,11.793547613646304
2020-06-28,0 to 17,6706,319.79078643926835,8.059147466184962
2020-06-28,18 to 40,38312,1185.2984871913388,24.891869313089593
2020-06-28,41 to 65,34416,1092.7393288365577,17.83040405482711
2020-06-28,over 65,13065,1114.2343977334947,12.2138754986368
2020-06-29,0 to 17,6964,332.09410032255664,8.638207089706281
2020-06-29,18 to 40,39834,1232.3861959380818,27.355863834049725
2020-06-29,41 to 65,35304,1120.934137181713,19.304553461547744
2020-06-29,over 65,13242,1129.3296513422836,13.109356644920894
2020-06-30,0 to 17,7210,343.8251670484827,9.07761115696658
2020-06-30,18 to 40,41194,1274.461940941742,29.185628375175273
2020-06-30,41 to 65,36084,1145.6998472146197,20.068843230878286
2020-06-30,over 65,13401,1142.8897944145856,13.145906895789631
2020-07-01,0 to 17,7303,348.26008251804006,8.427020638774977
2020-07-01,18 to 40,41991,1299.1195650357984,28.95801273781304
2020-07-01,41 to 65,36652,1163.7343642642234,19.855658547444843
