Area,Cases,Case rate,Deaths,Death rate,CF Outbreak,People Vaccinated,Percent Vaccinated
Unincorporated - Bradbury,52,48148,22,20370,False,254,90.7
Unincorporated - Canyon Country,763,9873,3,39,False,170,11.2
Unincorporated - Castaic,3535,13001,13,48,True,2272,10.3
Unincorporated - Cerritos,71,12095,0,0,False,84,18.7
Unincorporated - Charter Oak,0,0,0,0,False,,
Unincorporated - Claremont,40,5698,4,570,False,78,14.6
Unincorporated - Covina,2234,13283,33,196,False,1816,13.6
Unincorporated - Covina (Charter Oak),1470,11184,9,68,False,1388,13.0
Unincorporated - Del Aire,277,6305,3,68,False,439,12.6
Unincorporated - Del Rey,22,6918,0,0,False,48,13.2
Unincorporated - Del Sur,159,6584,1,41,False,146,7.0
Unincorporated - Desert View Highlands,327,13117,3,120,False,158,8.1
Unincorporated - Duarte,815,18406,9,203,False,400,12.1
Unincorporated - East Covina,34,10334,1,304,False,64,21.0
Unincorporated - East La Mirada,474,8957,6,113,False,608,14.1
Unincorporated - East Lancaster,15,13158,0,0,False,,
Unincorporated - East Los Angeles,24287,19388,348,278,False,8410,9.3
Unincorporated - East Pasadena,194,3030,7,109,False,1348,21.6
Unincorporated - East Rancho Dominguez,2668,17429,45,294,False,693,6.5
Unincorporated - East Whittier,438,8255,7,132,False,493,11.8
Unincorporated - El Camino Village,777,8839,11,125,False,1106,16.8
Unincorporated - El Monte,23,15862,0,0,False,9,9.2
Unincorporated - Elizabeth Lake,74,4455,0,0,False,69,4.9
Unincorporated - Florence-Firestone,13132,20295,174,269,False,2540,5.6
Unincorporated - Franklin Canyon,1,8333,0,0,False,,
Unincorporated - Glendora,61,9242,2,303,False,97,16.8
Unincorporated - Hacienda Heights,5002,8944,88,157,False,7412,15.9
Unincorporated - Harbor Gateway,0,0,0,0,False,,
Unincorporated - Hawthorne,303,12053,1,40,False,150,8.1
Unincorporated - Hi Vista,42,3825,0,0,False,36,4.2
Unincorporated - Kagel/Lopez Canyons,208,14731,2,142,False,84,7.9
Unincorporated - La Crescenta-Montrose,1000,5050,9,45,False,3061,18.4
Unincorporated - La Habra Heights,13,1923,1,148,False,39,6.6
Unincorporated - La Rambla,231,11133,16,771,False,193,11.7
Unincorporated - La Verne,153,7500,1,49,True,347,21.5
Unincorporated - Ladera Heights,354,5006,10,141,False,1390,22.9
Unincorporated - Lake Hughes,40,5988,1,150,False,22,4.4
Unincorporated - Lake Los Angeles,1496,11513,16,123,False,498,5.2
Unincorporated - Lake Manor,126,7669,2,122,False,156,11.3
Unincorporated - Lakewood,0,0,0,0,False,12,11.5
Unincorporated - Lennox,3367,14937,42,186,False,1006,6.2
Unincorporated - Leona Valley,107,6111,1,57,False,147,9.5
