Area,People Vaccinated,Percent Vaccinated
Unincorporated - Llano,109,14.9
Unincorporated - Long Beach,501,40.8
Unincorporated - Lynwood,,
Unincorporated - Marina del Rey,2656,31.9
Unincorporated - Miracle Mile,,
Unincorporated - Monrovia,1084,34.7
Unincorporated - Newhall,42,24.0
Unincorporated - North Lancaster,237,23.2
Unincorporated - North Whittier,2288,35.1
Unincorporated - Northeast San Gabriel,7001,35.8
Unincorporated - Padua Hills,55,43.0
Unincorporated - Palmdale,59,10.0
Unincorporated - Palos Verdes Peninsula,204,37.3
Unincorporated - Pearblossom/Llano,158,9.7
Unincorporated - Pellissier Village,144,31.7
Unincorporated - Placerita Canyon,38,11.3
Unincorporated - Pomona,133,7.4
Unincorporated - Quartz Hill,2379,22.8
Unincorporated - Rancho Dominguez,616,27.5
Unincorporated - Roosevelt,113,16.1
Unincorporated - Rosewood,234,22.8
Unincorporated - Rosewood/East Gardena,300,30.8
Unincorporated - Rosewood/West Rancho Dominguez,447,17.4
Unincorporated - Rowland Heights,14237,33.5
Unincorporated - San Clemente Island,,
Unincorporated - San Francisquito Canyon/Bouquet Canyon,73,53.3
Unincorporated - San Jose Hills,3819,25.2
Unincorporated - San Pasqual,758,47.2
Unincorporated - Sand Canyon,101,36.5
Unincorporated - Santa Catalina Island,25,10.1
Unincorporated - Santa Monica Mountains,5033,32.0
Unincorporated - Saugus,121,91.0
Unincorporated - Saugus/Canyon Country,167,50.3
Unincorporated - South Antelope Valley,69,16.7
Unincorporated - South Edwards,,
Unincorporated - South El Monte,319,23.8
Unincorporated - South San Gabriel,2814,38.2
Unincorporated - South Whittier,12099,26.5
Unincorporated - Southeast Antelope Valley,109,17.8
Unincorporated - Stevenson Ranch,5655,33.8
Unincorporated - Sun Village,801,17.7
Unincorporated - Sunrise Village,323,31.6
Unincorporated - Twin Lakes/Oat Mountain,457,33.6
Unincorporated - Universal City,8,
Unincorporated - Val Verde,604,23.1
Unincorporated - Valencia,862,39.3
Unincorporated - Valinda,5377,30.1
Unincorporated - View Park/Windsor Hills,3765,38.4
Unincorporated - Walnut,,
Unincorporated - Walnut Park,3142,26.2
Unincorporated - West Antelope Valley,181,13.7
Unincorporated - West Carson,6737,37.3
Unincorporated - West Chatsworth,,
Unincorporated - West LA,141,16.2
Unincorporated - West Puente Valley,2281,29.9
Unincorporated - West Rancho Dominguez,239,22.6
Unincorporated - West Whittier/Los Nietos,6411,30.8
Unincorporated - Westfield/Academy Hills,555,49.5
Unincorporated - Westhills,312,41.5
Unincorporated - White Fence Farms,743,22.7
Unincorporated - Whittier,1337,42.4
Unincorporated - Whittier Narrows,,
Unincorporated - Willowbrook,4928,19.5
Unincorporated - Wiseburn,1590,33.7
