Area,Region,Population,CF Outbreak,Cases,Case rate,"New cases, 14-day avg","New cases, 14-day avg per 100k",Deaths,Death rate
Los Angeles - Vernon Central,South,51998.0,False,11226,21589,4.5,8.64,164,315
Los Angeles - Victoria Park,Metro,8399.0,False,1081,12871,1.36,16.21,11,131
Los Angeles - View Heights,West,3694.0,False,239,6470,0.71,19.36,7,189
Los Angeles - Watts,South,42674.0,False,7668,17969,5.0,11.71,101,237
Los Angeles - Wellington Square,Metro,4915.0,False,600,12208,0.71,14.57,9,183
Los Angeles - West Adams,Metro,27630.0,False,4095,14821,3.71,13.43,151,547
Los Angeles - West Hills,San Fernando,40545.0,False,3192,7873,6.29,15.5,116,286
Los Angeles - West Los Angeles,West,37636.0,False,2582,6860,7.36,19.5,54,143
Los Angeles - West Vernon,South,53644.0,False,10337,19270,6.71,12.57,192,358
Los Angeles - Westchester,West,51603.0,False,2707,5246,8.43,16.36,49,95
Los Angeles - Westlake,Metro,59355.0,False,7913,13332,5.71,9.64,314,529
Los Angeles - Westwood,West,54109.0,False,2950,5452,6.0,11.07,26,48
Los Angeles - Wholesale District,Metro,36129.0,True,6523,18055,5.36,14.86,108,299
Los Angeles - Wilmington,South Bay,56487.0,False,8637,15290,6.5,11.5,90,159
Los Angeles - Wilshire Center,Metro,50170.0,False,5749,11459,5.86,11.64,132,263
Los Angeles - Winnetka,San Fernando,51786.0,False,6976,13471,7.14,13.79,82,158
Los Angeles - Woodland Hills,San Fernando,68055.0,False,5369,7889,11.64,17.07,89,131
Unincorporated - Acton,Antelope Valley,7971.0,False,508,6373,0.57,7.14,6,75
Unincorporated - Agua Dulce,Antelope Valley,4158.0,False,298,7167,0.5,12.0,3,72
Unincorporated - Altadena,San Gabriel,43620.0,False,3428,7859,3.93,9.0,77,177
Unincorporated - Anaverde,Antelope Valley,1508.0,False,152,10080,0.14,9.5,0,0
Unincorporated - Angeles National Forest,San Gabriel,1245.0,False,33,2651,0.0,0.0,1,80
Unincorporated - Arcadia,San Gabriel,7981.0,False,631,7906,1.07,13.43,15,188
Unincorporated - Athens Village,South,4897.0,False,1096,22381,0.93,18.93,30,613
Unincorporated - Athens-Westmont,South Bay,42442.0,False,6577,15496,9.0,21.14,105,247
Unincorporated - Avocado Heights,San Gabriel,6775.0,False,1105,16310,0.93,13.71,13,192
Unincorporated - Azusa,San Gabriel,15923.0,False,2405,15104,1.36,8.5,40,251
Unincorporated - Bassett,San Gabriel,14817.0,False,2658,17939,1.0,6.79,47,317
Unincorporated - Bouquet Canyon,Antelope Valley,1073.0,False,50,4660,0.07,6.64,1,93
Unincorporated - Bradbury,San Gabriel,108.0,False,51,47222,-0.07,-66.14,24,22222
Unincorporated - Canyon Country,San Fernando,7728.0,False,878,11361,1.5,19.36,4,52
Unincorporated - Castaic,San Fernando,27191.0,True,3832,14093,3.93,14.43,16,59
