Area,Region,Cases,Case Rate,Deaths,Death Rate,CF Outbreak
Unincorporated - El Monte,San Gabriel Valley,6,4138,0,0,False
Unincorporated - Elizabeth Lake,Antelope Valley,7,421,0,0,False
Unincorporated - Florence-Firestone,South LA,3354,5184,49,76,False
Unincorporated - Franklin Canyon,Central LA,0,0,0,0,False
Unincorporated - Glendora,San Gabriel Valley,12,1818,0,0,False
Unincorporated - Hacienda Heights,San Gabriel Valley,995,1779,16,29,False
Unincorporated - Harbor Gateway,Harbor,0,0,0,0,False
Unincorporated - Hawthorne,South Bay,60,2387,0,0,False
Unincorporated - Hi Vista,Antelope Valley,7,638,0,0,False
Unincorporated - Kagel/Lopez Canyons,Angeles Forest,37,2620,1,71,False
Unincorporated - La Crescenta-Montrose,Verdugos,194,980,2,10,False
Unincorporated - La Habra Heights,San Gabriel Valley,0,0,0,0,False
Unincorporated - La Rambla,Harbor,77,3711,12,578,False
Unincorporated - La Verne,Pomona Valley,34,1667,0,0,True
Unincorporated - Ladera Heights,Westside,95,1344,3,42,False
Unincorporated - Lake Hughes,Northwest County,3,449,0,0,False
Unincorporated - Lake Los Angeles,Antelope Valley,220,1693,4,31,False
Unincorporated - Lake Manor,San Fernando Valley,24,1461,0,0,False
Unincorporated - Lakewood,Harbor,0,0,0,0,False
Unincorporated - Lennox,South Bay,694,3079,6,27,False
Unincorporated - Leona Valley,Antelope Valley,18,1028,0,0,False
Unincorporated - Littlerock,Antelope Valley,84,2089,0,0,False
Unincorporated - Littlerock/Juniper Hills,Antelope Valley,9,694,0,0,False
Unincorporated - Littlerock/Pearblossom,Antelope Valley,83,2326,0,0,False
Unincorporated - Llano,Antelope Valley,3,342,0,0,False
Unincorporated - Marina del Rey,Westside,68,723,1,11,False
Unincorporated - Miracle Mile,Central LA,0,0,0,0,False
Unincorporated - Monrovia,San Gabriel Valley,80,2061,0,0,False
Unincorporated - Newhall,Northwest County,7,3182,0,0,False
Unincorporated - North Lancaster,Antelope Valley,18,1503,0,0,False
Unincorporated - North Whittier,San Gabriel Valley,205,2452,10,120,False
Unincorporated - Northeast San Gabriel,San Gabriel Valley,329,1369,8,33,False
Unincorporated - Padua Hills,Pomona Valley,3,1395,0,0,False
Unincorporated - Palmdale,Antelope Valley,21,2494,0,0,False
Unincorporated - Palos Verdes Peninsula,South Bay,3,483,0,0,False
Unincorporated - Pearblossom/Llano,Antelope Valley,24,1227,1,51,False
Unincorporated - Pellissier Village,San Gabriel Valley,26,4200,0,0,False
Unincorporated - Placerita Canyon,Angeles Forest,0,0,0,0,False
Unincorporated - Pomona,San Gabriel Valley,16,826,1,52,False
Unincorporated - Quartz Hill,Antelope Valley,169,1309,11,85,False
Unincorporated - Rancho Dominguez,Harbor,72,2706,2,75,False
Unincorporated - Roosevelt,Antelope Valley,8,859,0,0,False
Unincorporated - Rosewood,Southeast,28,2177,0,0,False
Unincorporated - Rosewood/East Gardena,Southeast,26,2179,1,84,False
Unincorporated - Rosewood/West Rancho Dominguez,Southeast,105,3124,0,0,False
Unincorporated - Rowland Heights,San Gabriel Valley,649,1272,13,25,False
Unincorporated - San Clemente Island,Harbor,0,0,0,0,False
Unincorporated - San Francisquito Canyon/Bouquet Canyon,Northwest County,0,0,0,0,False
Unincorporated - San Jose Hills,San Gabriel Valley,689,3407,10,49,False
Unincorporated - San Pasqual,San Gabriel Valley,10,491,0,0,False
Unincorporated - Sand Canyon,Angeles Forest,6,1948,0,0,False
Unincorporated - Santa Catalina Island,Harbor,25,9363,0,0,False
Unincorporated - Santa Monica Mountains,Santa Monica Mountains,113,607,1,5,True
Unincorporated - Saugus,Northwest County,27,17419,0,0,False
Unincorporated - Saugus/Canyon Country,Northwest County,1,281,0,0,False
Unincorporated - South Antelope Valley,Antelope Valley,6,1319,0,0,False
Unincorporated - South El Monte,San Gabriel Valley,84,4680,0,0,False
Unincorporated - South San Gabriel,San Gabriel Valley,176,1989,5,57,False
Unincorporated - South Whittier,Southeast,1724,2911,31,52,False
Unincorporated - Southeast Antelope Valley,Antelope Valley,13,1665,0,0,False
Unincorporated - Stevenson Ranch,Northwest County,159,758,2,10,False
Unincorporated - Sun Village,Antelope Valley,160,2651,2,33,False
Unincorporated - Sunrise Village,San Gabriel Valley,53,4090,0,0,False
Unincorporated - Twin Lakes/Oat Mountain,Northwest County,12,724,1,60,False
Unincorporated - Val Verde,Northwest County,68,2055,1,30,False
Unincorporated - Valencia,Northwest County,42,1367,1,33,False
Unincorporated - Valinda,San Gabriel Valley,735,3145,7,30,False
Unincorporated - View Park/Windsor Hills,South LA,141,1212,3,26,False
Unincorporated - Walnut Park,Southeast,693,4293,12,74,False
Unincorporated - West Antelope Valley,Antelope Valley,5,331,0,0,False
Unincorporated - West Carson,Harbor,418,1893,35,158,False
Unincorporated - West Chatsworth,San Fernando Valley,0,0,0,0,False
Unincorporated - West LA,Westside,43,4517,2,210,False
Unincorporated - West Puente Valley,San Gabriel Valley,376,3823,3,31,False
Unincorporated - West Rancho Dominguez,Harbor,21,1545,3,221,False
Unincorporated - West Whittier/Los Nietos,Southeast,956,3551,15,56,False
Unincorporated - Westfield/Academy Hills,South Bay,7,538,0,0,False
Unincorporated - Westhills,San Fernando Valley,9,1073,0,0,False
Unincorporated - White Fence Farms,Antelope Valley,43,1168,0,0,False
Unincorporated - Whittier,San Gabriel Valley,65,1718,2,53,False
Unincorporated - Whittier Narrows,San Gabriel Valley,2,16667,0,0,False
Unincorporated - Willowbrook,South LA,1432,4102,20,57,False
Unincorporated - Wiseburn,South Bay,121,2008,1,17,False
City of Long Beach,Harbor,11440,2440,237,51,False
City of Pasadena,San Gabriel Valley,2499,1769,121,86,False
